id,property_type,location,location_std,region,latitude,longitude,price,area_cent,area_sqft,price_per_cent,orientation,distance_to_sea,distance_to_nearest_beach_km,nearest_beach_name,distance_to_st_andrews_beach_km,distance_to_varkala_cliff_km,distance_to_city_center,distance_to_sea_note,beds,bathrooms,source_url,sea_dummy,source_host,sea_distance_band_fine
"4 Bedroom House in Varkala, Trivandrum",property,Varkala,varkala,Varkala,8.7379,76.7163,8000000.0,10.0,4356.0,800000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,4.0,3.0,"4 Bedroom House in Varkala, Trivandrum",,,0-0.5 km
"4 Bedroom House in Varkala, Trivandrum",property,Varkala,varkala,Varkala,8.7379,76.7163,7000000.0,3.44,1498.46,2034883.72,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,4.0,3.0,"4 Bedroom House in Varkala, Trivandrum",,,0-0.5 km
"5 Bedroom House in Varkala, Trivandrum",property,Varkala,varkala,Varkala,8.7379,76.7163,30000000.0,40.0,17424.0,750000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,5.0,5.0,"5 Bedroom House in Varkala, Trivandrum",,,0-0.5 km
"3 Bedroom House in Varkala, Trivandrum",property,Varkala,varkala,Varkala,8.7379,76.7163,4900000.0,6.0,2613.6,816666.67,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,3.0,2.0,"3 Bedroom House in Varkala, Trivandrum",,,0-0.5 km
TS890115,plot,"Standrews, Near Menamkulam, Kazhakkoottam, Trivandrum",menamkulam,North_of_Puthenthope,8.5639,76.8443,2750000.0,5.0,2178.0,550000.0,non-sea-facing,1.0,0.64,St Andrews Beach,0.64,23.92,18.0,,,,https://www.thithithara.com/property/5-cent-residential-plot-for-sale-in-standrews-near-menumkulam-kazhakkoottam-TS890115,0.0,thithithara.com,0.5-1 km
P826418,plot,"Fathimapuram, Kazhakoottam, Trivandrum","fathimapuram, kazhakoottam, trivandrum",North_of_Puthenthope,8.5639,76.8443,23000000.0,50.0,21780.0,460000.0,sea-facing,0.5,0.64,St Andrews Beach,0.64,23.92,18.0,,,,https://www.helloaddress.com/trivandrum/50-cent-residential-land-for-sale-fathimapuram/P826418/en,1.0,helloaddress.com,0.5-1 km
JK-StA15c,plot,"St Andrews, Kazhakkoottam, Trivandrum",st andrews,North_of_Puthenthope,8.5639,76.8443,6000000.0,15.0,6534.0,400000.0,non-sea-facing,0.5,0.64,St Andrews Beach,0.64,23.92,18.0,,,,https://www.justkerala.com/15-cent-plot-in-st-andrews-kazhakootam-ic06,0.0,justkerala.com,0.5-1 km
KR-StA15cBuild,property,"St Andrews (Near Kazhakkoottam), Trivandrum",st andrews,North_of_Puthenthope,8.5639,76.8443,15000000.0,15.0,6534.0,1000000.0,non-sea-facing,0.5,0.64,St Andrews Beach,0.64,23.92,18.0,,,,https://old.keralarealestate.com/details-15-cents-with-rental-building,0.0,old.keralarealestate.com,0.5-1 km
99acres-Puth40c,plot,"Puthenthope, Thiruvananthapuram",puthenthope,North_of_Puthenthope,8.5767,76.8353,20000000.0,40.0,17424.0,500000.0,non-sea-facing,0.5,0.0,Puthenthope Beach,1.93,22.19,17.0,,,,https://www.99acres.com/residential-land-in-puthenthope-trivandrum-ffid,0.0,99acres.com,0-0.5 km
99acres-Chitta11cHouse,property,"Chittattumukku (Menamkulam), Trivandrum",menamkulam,North_of_Puthenthope,8.5639,76.8443,15000000.0,5.74,2500.0,2613600.0,non-sea-facing,1.0,0.64,St Andrews Beach,0.64,23.92,16.0,,,,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-menamkulam-trivandrum-2500-sq-ft-spid-G83765264,0.0,99acres.com,0.5-1 km
Housing-Kani1500sf,plot,"Kaniyapuram, Trivandrum",kaniyapuram,North_of_Puthenthope,8.584,76.852,4200000.0,3.44,1500.0,1219680.0,non-sea-facing,2.0,2.01,Puthenthope Beach,2.98,22.7,15.0,,,,https://housing.com/in/buy/thiruvananthapuram/plot-puthenthope,0.0,housing.com,2-5 km
Housing-Kani220sqm,plot,"Kaniyapuram, Trivandrum",kaniyapuram,North_of_Puthenthope,8.584,76.852,1650000.0,5.44,2368.0,303521.96,non-sea-facing,2.0,2.01,Puthenthope Beach,2.98,22.7,15.0,,,,https://housing.com/in/buy/thiruvananthapuram/plot-puthenthope,0.0,housing.com,2-5 km
Housing-Menam4356,plot,"Menamkulam, Trivandrum",menamkulam,North_of_Puthenthope,8.5646,76.8593,10500000.0,10.0,4356.0,1050000.0,non-sea-facing,1.5,2.18,St Andrews Beach,2.18,24.87,15.0,,,,https://housing.com/in/buy/thiruvananthapuram/plot-puthenthope,0.0,housing.com,2-5 km
Housing-Menam4355,plot,"Menamkulam, Trivandrum",menamkulam,North_of_Puthenthope,8.5646,76.8593,480000.0,10.0,4355.0,48011.02,non-sea-facing,2.0,2.18,St Andrews Beach,2.18,24.87,15.0,,,,https://housing.com/in/buy/thiruvananthapuram/plot-puthenthope,0.0,housing.com,2-5 km
MB-4BHKvilla2Cr,property,"Kaniyapuram (Near Puthenthope Beach), Trivandrum",puthenthope,North_of_Puthenthope,8.584,76.852,20000000.0,4.02,1750.0,4978285.71,sea-facing,1.0,2.01,Puthenthope Beach,2.98,22.7,15.0,,,,https://www.magicbricks.com/independent-house-for-sale-in-kaniyapuram-trivandrum-pppfs,1.0,magicbricks.com,2-5 km
Santhipuram4.5c,plot,"Santhipuram, Kazhakkoottam, Trivandrum",kazhakkoottam,North_of_Puthenthope,8.583,76.852,2070000.0,4.5,1959.0,460281.78,non-sea-facing,3.0,1.97,Puthenthope Beach,2.88,22.79,19.0,,,,https://keralarealestate.com,0.0,keralarealestate.com,1-2 km
Santhipuram5c,plot,"Santhipuram, Kazhakkoottam, Trivandrum",kazhakkoottam,North_of_Puthenthope,8.583,76.852,2300000.0,5.0,2178.0,460000.0,non-sea-facing,3.0,1.97,Puthenthope Beach,2.88,22.79,19.0,,,,https://keralarealestate.com,0.0,keralarealestate.com,1-2 km
Santhipuram6c,plot,"Santhipuram, Kazhakkoottam, Trivandrum",kazhakkoottam,North_of_Puthenthope,8.583,76.852,2760000.0,6.0,2613.6,460000.0,non-sea-facing,3.0,1.97,Puthenthope Beach,2.88,22.79,19.0,,,,https://keralarealestate.com,0.0,keralarealestate.com,1-2 km
OLX-3BHKvilla54L,property,"St Andrews (Menamkulam), Trivandrum",st andrews,North_of_Puthenthope,8.5639,76.8443,5400000.0,2.75,1200.0,1960200.0,non-sea-facing,0.8,0.64,St Andrews Beach,0.64,23.92,16.0,,,,https://www.olx.in,0.0,olx.in,0.5-1 km
OLX-Chitta10cHouse,property,"Chittattumukku, St Andrews, Trivandrum",st andrews,North_of_Puthenthope,8.5639,76.8443,4500000.0,10.0,4356.0,450000.0,non-sea-facing,0.5,0.64,St Andrews Beach,0.64,23.92,18.0,,,,https://www.olx.in,0.0,olx.in,0.5-1 km
DL-40cBeach,plot,"Puthenthope (Beachfront), Thiruvananthapuram",puthenthope,North_of_Puthenthope,8.5767,76.8353,18000000.0,40.0,17424.0,450000.0,sea-facing,0.0,0.0,Puthenthope Beach,1.93,22.19,17.0,,,,https://divinelands.com,1.0,divinelands.com,0-0.5 km
DL-1.25acre,plot,"Puthenthope (Beachfront), Thiruvananthapuram",puthenthope,North_of_Puthenthope,8.5767,76.8353,43750000.0,125.0,54450.0,350000.0,sea-facing,0.0,0.0,Puthenthope Beach,1.93,22.19,17.0,,,,https://divinelands.com,1.0,divinelands.com,0-0.5 km
DL-PerumaLake60c,plot,"Near Perumathura (Kadinamkulam Lakefront), Trivandrum",kadinamkulam,North_of_Puthenthope,8.6,76.8167,14400000.0,60.0,26136.0,240000.0,non-sea-facing,0.5,0.74,Kadinamkulam Shore,5.13,18.89,20.0,,,,https://divinelands.com,0.0,divinelands.com,0.5-1 km
DL-Kadinam15cHouse,property,"Kadinamkulam, Trivandrum",kadinamkulam,North_of_Puthenthope,8.6,76.8167,6000000.0,15.0,6533.4,400036.73,non-sea-facing,2.0,0.74,Kadinamkulam Shore,5.13,18.89,19.0,,,,https://divinelands.com,0.0,divinelands.com,0.5-1 km
KRE-Vettu28cHouse,property,"Vettuthura, Thiruvananthapuram",vettuthura,North_of_Puthenthope,8.5833,76.8167,6500000.0,2.75,1200.0,2359500.0,non-sea-facing,0.4,0.52,Vettuthura Beach,3.64,20.43,20.0,,,,https://www.keralarealestate.com,0.0,keralarealestate.com,0.5-1 km
Prabha-1.3acre,plot,"Vettuthura (Beach Frontage), Trivandrum",vettuthura,North_of_Puthenthope,8.5833,76.8167,65000000.0,130.0,56628.0,500000.0,sea-facing,0.0,0.52,Vettuthura Beach,3.64,20.43,20.0,,,,https://thepraba.com/commercial-land-for-sale-in-vettuthura-thiruvananthapuram/,1.0,thepraba.com,0.5-1 km
Prabha-1acreHouse,property,"Vettuthura, Thiruvananthapuram",vettuthura,North_of_Puthenthope,8.5833,76.8167,10000000.0,5.51,2400.0,1815000.0,non-sea-facing,0.3,0.52,Vettuthura Beach,3.64,20.43,20.0,,,,https://thepraba.com,0.0,thepraba.com,0.5-1 km
OLX-Kazha15c,plot,"Kazhakkoottam, Thiruvananthapuram",kazhakkoottam,North_of_Puthenthope,8.571,76.8663,1200000.0,15.0,6534.0,80000.0,non-sea-facing,4.0,3.14,St Andrews Beach,3.14,24.83,14.0,,,,https://www.olx.in,0.0,olx.in,2-5 km
OLX-plot8L,plot,"Kazhakkoottam Outskirts, Trivandrum",kazhakkoottam,North_of_Puthenthope,8.568,76.873,800000.0,8.0,3484.8,100000.0,non-sea-facing,5.0,3.74,St Andrews Beach,3.74,25.57,16.0,,,,https://www.olx.in,0.0,olx.in,2-5 km
99acres-4BHK1.1Cr,property,"Menamkulam (Kazhakkoottam), Trivandrum",menamkulam,North_of_Puthenthope,8.5646,76.8593,11000000.0,4.13,1800.0,2662000.0,non-sea-facing,1.5,2.18,St Andrews Beach,2.18,24.87,15.0,,,,https://www.99acres.com,0.0,99acres.com,2-5 km
Plotid-Vettu15c,plot,"Vettuthura, Channankara, Trivandrum",vettuthura,North_of_Puthenthope,8.588,76.828,4400000.0,15.0,6534.0,293333.33,non-sea-facing,0.5,1.25,Vettuthura Beach,3.38,20.7,20.0,,,,https://plotid.in,0.0,plotid.in,1-2 km
OLX-Menam5c,plot,"Kalpana Lane, Menamkulam, Trivandrum",menamkulam,North_of_Puthenthope,8.5646,76.8593,3500000.0,5.0,2178.0,700000.0,non-sea-facing,1.0,2.18,St Andrews Beach,2.18,24.87,15.0,,,,https://www.olx.in,0.0,olx.in,2-5 km
OLX-Muruk4c,plot,"Murukkumpuzha Junction, Thiruvananthapuram",murukkumpuzha,North_of_Puthenthope,8.66,76.83,800000.0,4.0,1742.4,200000.0,non-sea-facing,4.0,5.54,Perumathura Beach,11.17,15.21,21.0,,,,https://www.olx.in,0.0,olx.in,>5 km
